SampleID,Dataset,DiseaseState,Acetanaerobacterium,Acidaminococcus,Actinomyces,Akkermansia,Alistipes,Allisonella,Anaerofilum,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyricicoccus,Butyricimonas,Catenibacterium,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Desulfovibrio,Dialister,Dorea,Eggerthella,Enterobacter,Erysipelotrichaceae_incertae_sedis,Escherichia/Shigella,Eubacterium,Faecalibacterium,Flavonifractor,Gemmiger,Gordonibacter,Haemophilus,Hespellia,Holdemania,Howardella,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Megasphaera,Methanobrevibacter,Mogibacterium,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudoflavonifractor,Roseburia,Ruminococcus,Ruminococcus2,Sporobacter,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella,Victivallis
BD0112v13,ob_ross,OB,0,20,0,0,89,12,0,0,0,0,0,2773,3,0,9,23,0,0,0,0,10,15,90,3,19,2,0,5,0,195,32,0,0,7,0,6,1344,6,28,0,0,1,0,0,0,8,52,0,0,36,0,0,0,23,20,0,144,64,0,0,0,244,67,26,0,4,0,0,0,0,0
BD0246v13,ob_ross,H,0,0,0,0,253,0,1,0,0,0,0,600,19,1,35,3,7,0,0,44,2,21,219,0,16,1,0,12,4,2,18,0,0,0,0,0,282,48,31,0,0,0,0,0,0,0,92,0,0,6,0,0,15,15,13,118,4,1,0,0,9,26,264,24,0,7,0,14,3,0,34
BD0247v13,ob_ross,H,0,33,0,0,98,2,0,0,0,0,0,1526,11,0,88,1,0,0,0,0,1,12,54,15,3,10,0,1,0,0,2,0,0,0,1,1,480,101,60,0,0,0,1,0,1,38,71,0,0,0,0,0,17,13,58,94,0,114,0,0,0,93,76,7,0,0,0,23,0,0,0
BD0266v13,ob_ross,OB,0,0,1,0,161,1,0,0,0,0,0,3154,0,0,53,2,5,0,0,1,1,232,411,19,0,0,0,1,0,0,14,0,0,0,0,25,938,27,56,0,1,0,0,0,0,16,369,1,0,0,0,4,23,24,61,72,39,141,0,0,0,515,9,23,0,95,0,0,0,59,1
BD0235v13,ob_ross,OB,0,8,0,0,132,7,2,0,1,0,0,965,0,1,34,10,28,0,0,4,24,31,80,0,47,5,0,1,4,121,35,0,0,0,51,1,447,67,95,0,28,0,0,0,0,20,45,0,0,0,0,0,6,7,41,179,0,32,0,0,1,250,540,2,0,3,0,0,8,5,0
BD0295v13,ob_ross,OB,1,0,0,2,118,2,2,0,1,1,0,144,0,0,43,2,12,0,0,21,0,19,684,5,0,1,0,2,23,0,46,0,0,20,0,38,595,103,52,0,1,0,0,6,0,10,250,2,0,1,0,0,26,42,37,17,1,3,0,1396,0,82,25,8,0,6,0,58,1,3,3
BD0255v13,ob_ross,OB,0,0,0,1,285,3,0,0,0,1,0,462,15,0,36,1,24,57,0,32,14,0,236,7,13,0,0,2,0,158,57,0,0,6,0,58,657,43,68,0,5,0,1,0,0,16,82,9,0,12,0,3,50,30,50,51,3,0,0,1363,0,297,7,5,0,411,0,83,0,30,14
BD0300v13,ob_ross,H,0,31,115,0,221,2,0,0,0,0,0,3171,19,0,110,3,2,0,0,1,37,0,200,9,385,0,0,1,0,66,50,0,2,17,12,7,753,167,91,0,2,0,1,0,0,13,144,43,5,0,0,4,24,115,211,448,2,1,0,0,0,208,51,1,0,885,0,240,0,25,0
BD0313v13,ob_ross,OB,0,0,0,0,0,4,0,0,0,0,0,13,0,0,21,3,1,70,0,0,0,2,29,0,1,3,0,1,0,82,33,0,0,0,0,3,685,3,13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,5,1,4,0,0,679,0,3,0,1,0,0,0,0,0,0,0
BD0331v13,ob_ross,OB,0,0,0,0,0,0,0,0,1,0,0,4487,0,0,106,10,0,0,0,0,0,0,858,0,5,0,0,0,0,0,14,0,0,0,3,0,56,0,0,0,5,0,0,0,0,0,36,7,0,0,0,0,0,0,434,0,0,0,0,0,0,35,0,18,0,96,0,448,0,261,0
BD0318v13,ob_ross,H,0,0,0,0,9,0,0,0,0,2,0,8,0,0,21,1,2,95,0,1,1,0,60,1,0,3,0,3,0,3,18,0,0,1,0,1,103,136,1,0,0,0,0,0,0,0,84,0,0,0,0,0,1,24,5,9,1,1,0,377,0,2,26,3,0,5,0,19,0,0,0
BD0321v13,ob_ross,OB,0,0,0,0,18,2,0,0,0,1,0,774,8,2,137,4,0,124,0,0,396,8,131,0,2,0,0,1,0,0,17,0,0,12,3,0,970,28,49,0,0,0,0,0,0,12,937,0,5,0,0,0,2,27,14,0,1,62,0,1,0,242,52,5,0,16,0,0,2,9,0
BD0351v13,ob_ross,OB,0,492,0,0,115,6,0,0,0,1,0,2792,0,0,90,0,0,0,0,15,3,3,663,0,31,0,0,8,0,257,75,0,0,10,0,0,256,66,50,0,0,0,0,0,0,3,114,1,0,0,0,0,0,52,287,610,873,2,0,1,0,393,182,1,0,40,0,0,0,4,0
BD0409v13,ob_ross,OB,4,31,0,0,22,0,0,0,0,1,0,240,0,0,27,2,5,61,0,3,0,0,188,16,0,3,0,1,0,68,59,0,0,4,0,1,195,128,10,0,0,0,0,5,1,2,67,9,0,0,0,3,10,37,41,6,3,3,0,18,1,5,21,2,0,5,0,1,0,0,2
BD0410v13,ob_ross,OB,4,19,0,0,31,1,2,0,0,0,0,348,0,0,30,3,1,0,0,8,0,13,33,1,1,2,0,0,0,145,18,0,0,2,1,3,460,24,35,0,0,0,0,1,0,7,70,30,0,0,0,0,6,28,5,32,15,0,0,436,0,41,5,0,0,11,0,1,0,5,0
BD0375v13,ob_ross,OB,0,14,0,1,36,0,0,0,0,0,0,499,0,0,24,2,0,0,0,9,2,56,84,9,3,34,0,1,0,173,32,0,0,0,0,15,770,7,17,0,0,0,2,0,0,1,63,0,0,0,0,0,0,19,40,0,12,45,0,2120,0,100,35,19,0,6,0,89,0,6,0
BD0414v13,ob_ross,H,0,0,0,10,14,3,2,0,1,1,0,119,0,0,43,1,2,263,0,6,0,1,1041,19,0,2,0,0,3,39,67,0,0,5,0,44,413,354,35,0,0,0,1,8,0,2,99,0,0,0,0,0,15,36,8,5,0,261,0,227,2,49,30,17,0,0,0,21,5,0,144
BD0422v13,ob_ross,OB,2,27,1,0,447,7,0,0,0,0,0,2690,0,0,63,3,10,0,0,0,0,43,189,34,0,2,0,6,0,0,33,0,0,11,2,0,811,11,10,0,0,0,1,0,0,39,77,0,0,0,0,0,112,71,34,1,1,371,0,1,0,206,13,26,0,1,0,42,0,2,0
BD0464v13,ob_ross,OB,1,91,0,0,91,0,0,0,0,0,0,2504,102,0,263,0,23,0,0,18,0,282,316,64,43,0,0,1,0,2,51,0,0,1,32,0,35,0,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,117,185,157,750,0,0,0,18,0,160,0,9,0,0,0,3,0
BD0468v13,ob_ross,H,0,0,0,0,0,0,0,0,0,0,0,153,0,0,27,3,0,0,0,1,39,30,79,3,0,9,0,0,0,0,20,0,0,0,0,0,469,25,9,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,68,0,552,0,3,9,35,0,5,0,0,0,7,0
BD0436v13,ob_ross,OB,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,42,63,0,986,0,0,0,0,0,15,0,3,0,266,0
