Genus,Phylum,Family,Health_Association,p_value_HvsOB,p_value_HvsOW,Mean_TSS_H,Mean_TSS_OB,Mean_TSS_OW,Log2FC_OBvsH,LDA_Score_OBvsH,Prevalence_H,Prevalence_OB,q_value_HvsOB,q_value_HvsOW,Direction,Significant
Clostridium_III,,,unclassified,8.71546498327531e-10,0.10583035782790955,7.7669131648894e-05,5.0984006981137536e-05,0.0001596125556871217,-0.6072868511503746,-0.17993460412226892,0.22392638036809817,0.08992805755395683,2.379992360817489e-09,0.159871391612374,↓ in OB,True
Coprococcus,,,unclassified,1.1015904315692937e-09,0.013199602287934898,0.032362354976396626,0.0196006920362453,0.036144630700712825,-0.7234119739698524,-0.21775997512607992,0.9555214723926381,0.9424460431654677,2.8967748385711056e-09,0.026032548956760493,↓ in OB,True
Escherichia/Shigella,,,unclassified,2.303471581972065e-09,1.735714603190662e-05,0.006809204502968737,0.006658136866101083,0.009479524286633088,-0.032367730810125554,-0.009742212400441375,0.49233128834355827,0.3183453237410072,5.84094579714345e-09,7.942131386224861e-05,↓ in OB,True
Faecalibacterium,,,unclassified,2.6663497764347757e-09,1.7897760870365883e-05,0.07612590893563051,0.10730963580338931,0.05667570684869919,0.49532016845945254,0.14910457200579263,0.9969325153374233,0.9910071942446043,6.527959797478244e-09,7.942131386224861e-05,↑ in OB,True
Haemophilus,,,unclassified,3.3942931292888922e-09,0.04720586178727263,0.001140540398785396,0.0003711228636109163,0.001001480028650216,-1.6197461380346851,-0.4868049313143561,0.3803680981595092,0.2158273381294964,8.033160405983712e-09,0.07980038540229421,↓ in OB,True
Streptococcus,,,unclassified,2.0913947517518196e-08,0.5677822065562667,0.002146585552302107,0.00570874547584968,0.001895217451061995,1.4111296492713388,0.4246662754472754,0.6349693251533742,0.7086330935251799,4.7899686249799735e-08,0.6398815343729354,↑ in OB,True
Anaerotruncus,,,unclassified,1.1389632890802757e-07,1.1897432389484955e-09,0.001993408235985464,0.003964061680379204,7.611064813054705e-05,0.9917418568604941,0.2984358886427798,0.22699386503067484,0.36151079136690645,2.5270747976468616e-07,1.6894353993068636e-08,↑ in OB,True
Veillonella,,,unclassified,5.803642316696326e-07,4.601129310159499e-05,0.001055979388391612,0.0013958998099978996,0.0015757607153283608,0.40261338878633396,0.12109873984130992,0.5153374233128835,0.33992805755395683,1.2486624378346642e-06,0.00019216481236548492,↑ in OB,True
Oscillibacter,,,unclassified,2.014311376877111e-06,0.032959572914483266,0.021375198533926488,0.020140363524384548,0.017272033919123842,-0.08584809217939808,-0.02584160641564326,0.9877300613496932,0.9316546762589928,4.206356110537497e-06,0.05850324192320779,↓ in OB,True
Lachnospiracea_incertae_sedis,,,unclassified,1.443720481402202e-05,0.3633926337968273,0.03866368218990557,0.05560987739162992,0.04101735897713853,0.5243621037544649,0.15784530236116878,0.9984662576687117,0.9946043165467626,2.9286901194158957e-05,0.43730299999279215,↑ in OB,True
Butyricimonas,,,unclassified,2.860768441494372e-05,0.26837240585293565,0.0010298048157300693,0.0009073318301663514,0.0009805211816769888,-0.1826685566879836,-0.05493190563271222,0.5598159509202454,0.41007194244604317,5.6420710929472334e-05,0.34025787170640054,↓ in OB,True
Odoribacter,,,unclassified,5.446120081758398e-05,0.3785461736048289,0.0024643436246309085,0.001904199609998258,0.002080106410850538,-0.3720185464252279,-0.11193697674655656,0.7822085889570553,0.6438848920863309,0.0001045066285959044,0.44794630543238084,↓ in OB,True
Sutterella,,,unclassified,5.9752582264808275e-05,0.0014128430760267793,0.00149647233529735,0.003154246283299204,0.00032082510699584887,1.0757291948188257,0.32367445597121813,0.31441717791411045,0.38848920863309355,0.00011164298265266808,0.003459029599927632,↑ in OB,True
Clostridium_XVIII,,,unclassified,0.00010607272481078407,0.07050713483976453,0.003305814183007983,0.002927127495399403,0.0022279687021122224,-0.17551999194659226,-0.05281980897844685,0.7392638036809815,0.5881294964028777,0.00019310675542476074,0.11187350536807181,↓ in OB,True
Phascolarctobacterium,,,unclassified,0.00017980409836661828,0.9358194515164787,0.003766769212122227,0.004315143580851559,0.0026739455052758945,0.1960808724900707,0.0590115904795776,0.5306748466257669,0.3830935251798561,0.0003191522746007475,0.9358194515164787,↑ in OB,True
Acidaminococcus,,,unclassified,0.0004229356922545467,0.05725793654639455,0.0008617458536251468,0.002308017015017352,0.0008610652014842965,1.4213184536419834,0.4275442524806783,0.1687116564417178,0.2392086330935252,0.0007324008329286052,0.0945421742975352,↑ in OB,True
Porphyromonas,,,unclassified,0.0007329326129945377,0.016209474376369777,8.799787406996001e-05,7.788472574187448e-05,0.00015158214828496378,-0.17612611766200972,-0.05238671262961958,0.18404907975460122,0.11510791366906475,0.001239005131490766,0.03110466704654741,↓ in OB,True
Turicibacter,,,unclassified,0.0007927466992050808,0.7768840560353849,0.0014902526275601357,0.001684034998845155,0.0012798375958610884,0.1763650934404694,0.05305770387156583,0.6012269938650306,0.4766187050359712,0.001308953852175831,0.8232651937091392,↑ in OB,True
Clostridium_XlVa,,,unclassified,0.0010299865788228663,8.862736885583469e-06,0.024469039116935678,0.0197612581955431,0.0272740412832598,-0.3082826288333015,-0.09279809451098897,0.9125766871165644,0.9064748201438849,0.0016620237976459889,4.494673706260188e-05,↓ in OB,True
Ruminococcus,,,unclassified,0.0019125096812467358,0.8880206785886274,0.026820006906686386,0.02145622295529643,0.027097279750473553,-0.3219134615931384,-0.09690156413811213,0.9555214723926381,0.8920863309352518,0.003017515274855961,0.9152137327668035,↓ in OB,True
Eggerthella,,,unclassified,0.002155509871196353,0.0006434009456353817,0.00032550810961226166,0.0003839632122442548,7.293089371806354e-05,0.2382739305865312,0.07152525706301915,0.15950920245398773,0.22841726618705036,0.003326982627281327,0.001756979505388927,↑ in OB,True
Gordonibacter,,,unclassified,0.003007174156132711,0.000785305550566055,0.00015069971495954148,9.805862600989522e-05,0.0001230392078039531,-0.6199550969908604,-0.18509246493977205,0.2852760736196319,0.20323741007194246,0.00454275244862601,0.002065062744081108,↓ in OB,True
Actinomyces,,,unclassified,0.003755806987492119,0.010542029277218826,6.834217120910599e-05,5.810524899941541e-05,5.6314166389401914e-05,-0.23410386649529805,-0.06937138468092652,0.24386503067484663,0.16906474820143885,0.005555464502332092,0.0220142376083099,↓ in OB,True
Enterobacter,,,unclassified,0.005779420019004375,0.00020600751875954598,0.0017023535705680015,0.0012700242869999596,0.0008540194148340973,-0.42267433412188854,-0.1271509559958428,0.15337423312883436,0.09892086330935251,0.008374261660190013,0.0006965016110441792,↓ in OB,True
Subdoligranulum,,,unclassified,0.012873336791917477,0.4448694919807271,0.011866670731078357,0.017961813438323277,0.00866706285806798,0.5980177371608132,0.18000887104131147,0.9248466257668712,0.8705035971223022,0.018280138244522817,0.5177989168956004,↑ in OB,True
Clostridium_XlVb,,,unclassified,0.018936972099497715,0.00035652155351220037,0.0014857177535898749,0.0017205530824600183,0.0021026240904561655,0.21171220156191808,0.06369189073486448,0.7760736196319018,0.6348920863309353,0.026363235667928194,0.0010547095958069262,↑ in OB,True
Howardella,,,unclassified,0.022732401417130753,0.03491237294609355,0.0013136065697625446,0.0009689439205821021,0.0002614002753477964,-0.43904778242557885,-0.1320491730299853,0.254601226993865,0.20323741007194246,0.03103847116569776,0.0604580116871376,↓ in OB,True
Clostridium_XI,,,unclassified,0.041244216332067006,0.15124565721747368,0.01612522931033123,0.015552892838146454,0.020480426439551086,-0.05213672676952193,-0.01569372858436635,0.9355828220858896,0.8723021582733813,0.05525168602975014,0.21055767965569866,↓ in OB,False
Catenibacterium,,,unclassified,0.05114877265463089,0.9095836594236506,0.010138586314354076,0.013399739284853907,0.007391047467590361,0.4023483936991482,0.12110852140282402,0.7193251533742331,0.5593525179856115,0.06725116404590359,0.9225777117011312,↑ in OB,False
Erysipelotrichaceae_incertae_sedis,,,unclassified,0.09011139716291083,0.07090574283891875,0.016504388190183975,0.020091084620398488,0.010223072510630376,0.2837057751566543,0.08539925562113981,0.8865030674846626,0.7697841726618705,0.11632562179212126,0.11187350536807181,↑ in OB,False
Flavonifractor,,,unclassified,0.1366612505519568,0.12978838076498764,0.0029653146350681844,0.0031377814904779314,0.0016335724238679893,0.08155967212093185,0.024543868423094306,0.8880368098159509,0.8165467625899281,0.17326694266408807,0.1880607149860025,↑ in OB,False
Lactobacillus,,,unclassified,0.14627937675986796,0.14039118729083644,0.0013935887985997444,0.002377428564799812,0.0006830746516434116,0.7705966313164436,0.23184393947169202,0.3205521472392638,0.329136690647482,0.1822076447359759,0.19935548595298772,↑ in OB,False
Allisonella,,,unclassified,0.16812740504922075,0.09558326397379442,0.00025390014261591825,0.0010938742908983186,5.525670888826335e-05,2.10710947803286,0.6329941796214,0.14570552147239263,0.17086330935251798,0.20581113376714952,0.1475306900465088,↑ in OB,False
Anaerovorax,,,unclassified,0.1762836826801153,0.6016506610232392,0.0004779367524838922,0.0008276214371690013,0.0002463692285915417,0.792150026644164,0.2380779996276785,0.5138036809815951,0.4226618705035971,0.21213799102183367,0.667456202072656,↑ in OB,False
Dialister,,,unclassified,0.18573419144698822,0.00025388990435174197,0.010961080638353228,0.009328798746433598,0.013714852523195153,-0.2326267909045294,-0.07002071681013455,0.6257668711656442,0.5503597122302158,0.21978545987893605,0.0007837470960423339,↓ in OB,False
Ruminococcus2,,,unclassified,0.20002674059182624,0.3574740395743242,0.02283205298787596,0.025759290197147126,0.02069339854908141,0.17403224495432223,0.05238676665434272,0.9861963190184049,0.9856115107913669,0.23281800954130594,0.43730299999279215,↑ in OB,False
Parasutterella,,,unclassified,0.23379181221279755,0.720796625738195,0.000844668869025842,0.002055395004373898,0.0007527535162346494,1.2829568851884434,0.3859061966309518,0.3282208588957055,0.3345323741007194,0.2660531583756286,0.7873316988832593,↑ in OB,False
Paraprevotella,,,unclassified,0.2360753377135859,0.30486068263570143,0.004274308102704363,0.003911281785256857,0.003897221582089847,-0.1280493957884126,-0.03853729023747432,0.4049079754601227,0.37410071942446044,0.2660531583756286,0.37973874503745264,↓ in OB,False
Lactococcus,,,unclassified,0.2498819516678178,0.016995124116027834,0.00017494375690777235,0.0002798906914595285,0.00013993150621846852,0.6779692337000649,0.2031634860183691,0.19325153374233128,0.16546762589928057,0.27721279013148536,0.031754047690473054,↑ in OB,False
Holdemania,,,unclassified,0.27571453997542605,0.5412193861326375,0.00015015805177520002,0.00018489492035045872,0.00012490373428790917,0.30022194766765736,0.08983623686486464,0.43098159509202455,0.36330935251798563,0.3011651128962346,0.6197834905712463,↑ in OB,False
Prevotella,,,unclassified,0.4998127829443614,0.006752883837172893,0.08991328056357936,0.11832459289072923,0.03459405239595641,0.3961438258568307,0.11925001556811543,0.7868098159509203,0.6798561151079137,0.5376773877128737,0.014528931892099254,↑ in OB,False
Dorea,,,unclassified,0.5764105256317718,0.00023702971652533923,0.017041454234451133,0.0177528620032104,0.021713055689208997,0.0590031687059448,0.017760703459514415,0.9739263803680982,0.9532374100719424,0.610823094326206,0.0007649595396954129,↑ in OB,False
Coprobacillus,,,unclassified,0.6381880047870301,0.013147591332194192,0.00036427686733578297,0.0003459238839466257,0.00023273499288596419,-0.07458054595018368,-0.02238796975378987,0.19938650306748465,0.210431654676259,0.6663433579393991,0.026032548956760493,↓ in OB,False
Blautia,,,unclassified,0.8768515533635369,3.032659288490827e-10,0.06894399815601845,0.07519944953063283,0.09651887590304642,0.12529713451840077,0.03771767239140433,0.99079754601227,0.9910071942446043,0.8893780041258731,5.382970237071218e-09,↑ in OB,False
Roseburia,,,unclassified,0.8662309992155774,5.121654136248682e-08,0.04404643053071677,0.04584767509303797,0.0645705020518248,0.057823466596887564,0.017406210922279897,0.9831288343558282,0.9802158273381295,0.8893780041258731,5.194820623909378e-07,↑ in OB,False
Bacteroides,,,unclassified,0.8956692088583651,0.23303399533207347,0.21316592366484888,0.21494439007780455,0.1965689871036586,0.0119866274644995,0.003608317573374986,0.9969325153374233,0.9838129496402878,0.8956692088583651,0.30639654941809663,↑ in OB,False
